Date;OS;apiname;us-east-1;us-west-2;us-west-1;eu-west-1;ap-southeast-1;ap-northeast-1;ap-southeast-2;sa-east-1;
20111214;linux;m1.large;0.34;0.38;0.38;0.38;0.38;0.40;;0.40;
20111214;linux;m1.xlarge;0.68;0.76;0.76;0.76;0.76;0.80;;0.80;
20111214;linux;t1.micro;0.02;0.025;0.025;0.025;0.025;0.027;;0.027;
20111214;linux;m2.xlarge;0.50;0.57;0.57;0.57;0.57;0.60;;0.60;
20111214;linux;m2.2xlarge;1.00;1.14;1.14;1.14;1.14;1.20;;1.20;
20111214;linux;m2.4xlarge;2.00;2.28;2.28;2.28;2.28;2.39;;2.39;
20111214;linux;c1.medium;0.17;0.19;0.19;0.19;0.19;0.20;;0.20;
20111214;linux;c1.xlarge;0.68;0.76;0.76;0.76;0.76;0.80;;0.80;
20111214;linux;cc1.4xlarge;1.30;;;;;;;;
20111214;linux;cc2.8xlarge;2.40;;;;;;;;
20111214;linux;cg1.4xlarge;2.10;;;;;;;;
20111214;mswin;m1.small;0.12;0.13;0.13;0.12;0.12;0.12;;0.12;
20111214;mswin;m1.large;0.48;0.52;0.52;0.48;0.48;0.48;;0.48;
20111214;mswin;m1.xlarge;0.96;1.04;1.04;0.96;0.96;0.96;;0.96;
20111214;mswin;t1.micro;0.03;0.035;0.035;0.035;0.035;0.035;;0.035;
20111214;mswin;m2.xlarge;0.62;0.69;0.69;0.62;0.62;0.62;;0.62;
20111214;mswin;m2.2xlarge;1.24;1.38;1.38;1.24;1.24;1.24;;1.24;
20111214;mswin;m2.4xlarge;2.48;2.76;2.76;2.48;2.48;2.48;;2.48;
20111214;mswin;c1.medium;0.29;0.31;0.31;0.29;0.29;0.29;;0.29;
20111214;mswin;c1.xlarge;1.16;1.24;1.24;1.16;1.16;1.16;;1.16;
20111214;mswin;cc1.4xlarge;1.30;;;;;;;;
20111214;mswin;cc2.8xlarge;2.40;;;;;;;;
20111214;mswin;cg1.4xlarge;2.10;;;;;;;;
;;;;;;;;;;;
20111114;linux;m1.small;0.085;0.095;0.095;0.095;0.095;0.10;;;
20111114;linux;m1.large;0.34;0.38;0.38;0.38;0.38;0.40;;;
20111114;linux;m1.xlarge;0.68;0.76;0.76;0.76;0.76;0.80;;;
20111114;linux;t1.micro;0.02;0.025;0.025;0.025;0.025;0.027;;;
20111114;linux;m2.xlarge;0.50;0.57;0.57;0.57;0.57;0.60;;;
20111114;linux;m2.2xlarge;1.00;1.14;1.14;1.14;1.14;1.20;;;
20111114;linux;m2.4xlarge;2.00;2.28;2.28;2.28;2.28;2.39;;;
20111114;linux;c1.medium;0.17;0.19;0.19;0.19;0.19;0.20;;;
20111114;linux;c1.xlarge;0.68;0.76;0.76;0.76;0.76;0.80;;;
20111114;linux;cc1.4xlarge;1.30;;;;;;;;
20111114;linux;cc2.8xlarge;2.40;;;;;;;;
20111114;linux;cg1.4xlarge;2.10;;;;;;;;
20111114;mswin;m1.small;0.12;0.13;0.13;0.12;0.12;0.12;;;
20111114;mswin;m1.large;0.48;0.52;0.52;0.48;0.48;0.48;;;
20111114;mswin;m1.xlarge;0.96;1.04;1.04;0.96;0.96;0.96;;;
20111114;mswin;t1.micro;0.03;0.035;0.035;0.035;0.035;0.035;;;
20111114;mswin;m2.xlarge;0.62;0.69;0.69;0.62;0.62;0.62;;;
20111114;mswin;m2.2xlarge;1.24;1.38;1.38;1.24;1.24;1.24;;;
20111114;mswin;m2.4xlarge;2.48;2.76;2.76;2.48;2.48;2.48;;;
20111114;mswin;c1.medium;0.29;0.31;0.31;0.29;0.29;0.29;;;
20111114;mswin;c1.xlarge;1.16;1.24;1.24;1.16;1.16;1.16;;;
20111114;mswin;cc1.4xlarge;1.30;;;;;;;;
20111114;mswin;cc2.8xlarge;2.40;;;;;;;;
20111114;mswin;cg1.4xlarge;2.10;;;;;;;;
;;;;;;;;;;;
20111109;linux;m1.small;0.085;0.095;0.095;0.095;0.095;0.10;;;
20111109;linux;m1.large;0.34;0.38;0.38;0.38;0.38;0.40;;;
20111109;linux;m1.xlarge;0.68;0.76;0.76;0.76;0.76;0.80;;;
20111109;linux;t1.micro;0.02;0.025;0.025;0.025;0.025;0.027;;;
20111109;linux;m2.xlarge;0.50;0.57;0.57;0.57;0.57;0.60;;;
20111109;linux;m2.2xlarge;1.00;1.14;1.14;1.14;1.14;1.20;;;
20111109;linux;m2.4xlarge;2.00;2.28;2.28;2.28;2.28;2.39;;;
20111109;linux;c1.medium;0.17;0.19;0.19;0.19;0.19;0.20;;;
20111109;linux;c1.xlarge;0.68;0.76;0.76;0.76;0.76;0.80;;;
20111109;linux;cc1.4xlarge;1.60;;;;;;;;
20111109;linux;cg1.4xlarge;2.10;;;;;;;;
20111109;mswin;m1.small;0.12;0.13;0.13;0.12;0.12;0.12;;;
20111109;mswin;m1.large;0.48;0.52;0.52;0.48;0.48;0.48;;;
20111109;mswin;m1.xlarge;0.96;1.04;1.04;0.96;0.96;0.96;;;
20111109;mswin;t1.micro;0.03;0.035;0.035;0.035;0.035;0.035;;;
20111109;mswin;m2.xlarge;0.62;0.69;0.69;0.62;0.62;0.62;;;
20111109;mswin;m2.2xlarge;1.24;1.38;1.38;1.24;1.24;1.24;;;
20111109;mswin;m2.4xlarge;2.48;2.76;2.76;2.48;2.48;2.48;;;
20111109;mswin;c1.medium;0.29;0.31;0.31;0.29;0.29;0.29;;;
20111109;mswin;c1.xlarge;1.16;1.24;1.24;1.16;1.16;1.16;;;
20111109;mswin;cc1.4xlarge;1.60;;;;;;;;
20111109;mswin;cg1.4xlarge;2.10;;;;;;;;
;;;;;;;;;;;
20110918;linux;m1.small;0.085;;0.095;0.095;0.095;0.10;;;
20110918;linux;m1.large;0.34;;0.38;0.38;0.38;0.40;;;
20110918;linux;m1.xlarge;0.68;;0.76;0.76;0.76;0.80;;;
20110918;linux;t1.micro;0.02;;0.025;0.025;0.025;0.027;;;
20110918;linux;m2.xlarge;0.50;;0.57;0.57;0.57;0.60;;;
20110918;linux;m2.2xlarge;1.00;;1.14;1.14;1.14;1.20;;;
20110918;linux;m2.4xlarge;2.00;;2.28;2.28;2.28;2.39;;;
20110918;linux;c1.medium;0.17;;0.19;0.19;0.19;0.20;;;
20110918;linux;c1.xlarge;0.68;;0.76;0.76;0.76;0.80;;;
20110918;linux;cc1.4xlarge;1.60;;;;;;;;
20110918;linux;cg1.4xlarge;2.10;;;;;;;;
20110918;mswin;m1.small;0.12;;0.13;0.12;0.12;0.12;;;
20110918;mswin;m1.large;0.48;;0.52;0.48;0.48;0.48;;;
20110918;mswin;m1.xlarge;0.96;;1.04;0.96;0.96;0.96;;;
20110918;mswin;t1.micro;0.03;;0.035;0.035;0.035;0.035;;;
20110918;mswin;m2.xlarge;0.62;;0.69;0.62;0.62;0.62;;;
20110918;mswin;m2.2xlarge;1.24;;1.38;1.24;1.24;1.24;;;
20110918;mswin;m2.4xlarge;2.48;;2.76;2.48;2.48;2.48;;;
20110918;mswin;c1.medium;0.29;;0.31;0.29;0.29;0.29;;;
20110918;mswin;c1.xlarge;1.16;;1.24;1.16;1.16;1.16;;;
20110918;mswin;cc1.4xlarge;1.60;;;;;;;;
20110918;mswin;cg1.4xlarge;2.10;;;;;;;;
;;;;;;;;;;;
20110302;linux;m1.small;0.085;;0.095;0.095;0.095;0.10;;;
20110302;linux;m1.large;0.34;;0.38;0.38;0.38;0.40;;;
20110302;linux;m1.xlarge;0.68;;0.76;0.76;0.76;0.80;;;
20110302;linux;t1.micro;0.02;;0.025;0.025;0.025;0.027;;;
20110302;linux;m2.xlarge;0.50;;0.57;0.57;0.57;0.60;;;
20110302;linux;m2.2xlarge;1.00;;1.14;1.14;1.14;1.20;;;
20110302;linux;m2.4xlarge;2.00;;2.28;2.28;2.28;2.39;;;
20110302;linux;c1.medium;0.17;;0.19;0.19;0.19;0.20;;;
20110302;linux;c1.xlarge;0.68;;0.76;0.76;0.76;0.80;;;
20110302;linux;cc1.4xlarge;1.60;;;;;;;;
20110302;linux;cg1.4xlarge;2.10;;;;;;;;
20110302;mswin;m1.small;0.12;;0.13;0.12;0.12;0.12;;;
20110302;mswin;m1.large;0.48;;0.52;0.48;0.48;0.48;;;
20110302;mswin;m1.xlarge;0.96;;1.04;0.96;0.96;0.96;;;
20110302;mswin;t1.micro;0.03;;0.035;0.035;0.035;0.035;;;
20110302;mswin;m2.xlarge;0.62;;0.69;0.62;0.62;0.62;;;
20110302;mswin;m2.2xlarge;1.24;;1.38;1.24;1.24;1.24;;;
20110302;mswin;m2.4xlarge;2.48;;2.76;2.48;2.48;2.48;;;
20110302;mswin;c1.medium;0.29;;0.31;0.29;0.29;0.29;;;
20110302;mswin;c1.xlarge;1.16;;1.24;1.16;1.16;1.16;;;
;;;;;;;;;;;
20111114;linux;m1.small;0.085;;0.095;0.095;0.095;;;;
20111114;linux;m1.large;0.34;;0.38;0.38;0.38;;;;
20111114;linux;m1.xlarge;0.68;;0.76;0.76;0.76;;;;
20111114;linux;t1.micro;0.02;;0.025;0.025;0.025;;;;
20111114;linux;m2.xlarge;0.50;;0.57;0.57;0.57;;;;
20111114;linux;m2.2xlarge;1.00;;1.14;1.14;1.14;;;;
20111114;linux;m2.4xlarge;2.00;;2.28;2.28;2.28;;;;
20111114;linux;c1.medium;0.17;;0.19;0.19;0.19;;;;
20111114;linux;c1.xlarge;0.68;;0.76;0.76;0.76;;;;
20111114;linux;cc1.4xlarge;1.60;;;;;;;;
20111114;linux;cg1.4xlarge;2.10;;;;;;;;
20111114;mswin;m1.small;0.12;;0.13;0.12;0.12;;;;
20111114;mswin;m1.large;0.48;;0.52;0.48;0.48;;;;
20111114;mswin;m1.xlarge;0.96;;1.04;0.96;0.96;;;;
20111114;mswin;t1.micro;0.03;;0.035;0.035;0.035;;;;
20111114;mswin;m2.xlarge;0.62;;0.69;0.62;0.62;;;;
20111114;mswin;m2.2xlarge;1.24;;1.38;1.24;1.24;;;;
20111114;mswin;m2.4xlarge;2.48;;2.76;2.48;2.48;;;;
20111114;mswin;c1.medium;0.29;;0.31;0.29;0.29;;;;
20111114;mswin;c1.xlarge;1.16;;1.24;1.16;1.16;;;;
;;;;;;;;;;;
20100908;linux;m1.small;0.085;;0.095;0.095;0.095;;;;
20100908;linux;m1.large;0.34;;0.38;0.38;0.38;;;;
20100908;linux;m1.xlarge;0.68;;0.76;0.76;0.76;;;;
20100908;linux;t1.micro;0.02;;0.025;0.025;0.025;;;;
20100908;linux;m2.xlarge;0.50;;0.57;0.57;0.57;;;;
20100908;linux;m2.2xlarge;1.00;;1.14;1.14;1.14;;;;
20100908;linux;m2.4xlarge;2.00;;2.28;2.28;2.28;;;;
20100908;linux;c1.medium;0.17;;0.19;0.19;0.19;;;;
20100908;linux;c1.xlarge;0.68;;0.76;0.76;0.76;;;;
20100908;linux;cc1.4xlarge;1.60;;;;;;;;
20100908;mswin;m1.small;0.12;;0.13;0.12;0.12;;;;
20100908;mswin;m1.large;0.48;;0.52;0.48;0.48;;;;
20100908;mswin;m1.xlarge;0.96;;1.04;0.96;0.96;;;;
20100908;mswin;t1.micro;0.03;;0.035;0.035;0.035;;;;
20100908;mswin;m2.xlarge;0.62;;0.69;0.62;0.62;;;;
20100908;mswin;m2.2xlarge;1.24;;1.38;1.24;1.24;;;;
20100908;mswin;m2.4xlarge;2.48;;2.76;2.48;2.48;;;;
20100908;mswin;c1.medium;0.29;;0.31;0.29;0.29;;;;
20100908;mswin;c1.xlarge;1.16;;1.24;1.16;1.16;;;;
;;;;;;;;;;;
20100901;linux;m1.small;0.085;;0.095;0.095;0.095;;;;
20100901;linux;m1.large;0.34;;0.38;0.38;0.38;;;;
20100901;linux;m1.xlarge;0.68;;0.76;0.76;0.76;;;;
20100901;linux;t1.micro;0.02;;0.025;0.025;0.025;;;;
20100901;linux;m2.xlarge;0.50;;0.57;0.57;0.57;;;;
20100901;linux;m2.2xlarge;1.00;;1.14;1.14;1.14;;;;
20100901;linux;m2.4xlarge;2.00;;2.28;2.28;2.28;;;;
20100901;linux;c1.medium;0.17;;0.19;0.19;0.19;;;;
20100901;linux;c1.xlarge;0.68;;0.76;0.76;0.76;;;;
20100901;linux;cc1.4xlarge;1.60;;;;;;;;
20100901;mswin;m1.small;0.12;;0.13;0.12;0.12;;;;
20100901;mswin;m1.large;0.48;;0.52;0.48;0.48;;;;
20100901;mswin;m1.xlarge;0.96;;1.04;0.96;0.96;;;;
20100901;mswin;m2.xlarge;0.62;;0.69;0.62;0.62;;;;
20100901;mswin;m2.2xlarge;1.24;;1.38;1.24;1.24;;;;
20100901;mswin;m2.4xlarge;2.48;;2.76;2.48;2.48;;;;
20100901;mswin;c1.medium;0.29;;0.31;0.29;0.29;;;;
20100901;mswin;c1.xlarge;1.16;;1.24;1.16;1.16;;;;
;;;;;;;;;;;
20100712;linux;m1.small;0.085;;0.095;0.095;0.095;;;;
20100712;linux;m1.large;0.34;;0.38;0.38;0.38;;;;
20100712;linux;m1.xlarge;0.68;;0.76;0.76;0.76;;;;
20100712;linux;m2.xlarge;0.50;;0.57;0.57;0.57;;;;
20100712;linux;m2.2xlarge;1.20;;1.34;1.34;1.34;;;;
20100712;linux;m2.4xlarge;2.40;;2.68;2.68;2.68;;;;
20100712;linux;c1.medium;0.17;;0.19;0.19;0.19;;;;
20100712;linux;c1.xlarge;0.68;;0.76;0.76;0.76;;;;
20100712;linux;cc1.4xlarge;1.60;;;;;;;;
20100712;mswin;m1.small;0.12;;0.13;0.12;0.12;;;;
20100712;mswin;m1.large;0.48;;0.52;0.48;0.48;;;;
20100712;mswin;m1.xlarge;0.96;;1.04;0.96;0.96;;;;
20100712;mswin;m2.xlarge;0.62;;0.69;0.62;0.62;;;;
20100712;mswin;m2.2xlarge;1.44;;1.58;1.44;1.44;;;;
20100712;mswin;m2.4xlarge;2.88;;3.16;2.88;2.88;;;;
20100712;mswin;c1.medium;0.29;;0.31;0.29;0.29;;;;
20100712;mswin;c1.xlarge;1.16;;1.24;1.16;1.16;;;;
;;;;;;;;;;;
20100428;linux;m1.small;0.085;;0.095;0.095;0.095;;;;
20100428;linux;m1.large;0.34;;0.38;0.38;0.38;;;;
20100428;linux;m1.xlarge;0.68;;0.76;0.76;0.76;;;;
20100428;linux;m2.xlarge;0.50;;0.57;0.57;0.57;;;;
20100428;linux;m2.2xlarge;1.20;;1.34;1.34;1.34;;;;
20100428;linux;m2.4xlarge;2.40;;2.68;2.68;2.68;;;;
20100428;linux;c1.medium;0.17;;0.19;0.19;0.19;;;;
20100428;linux;c1.xlarge;0.68;;0.76;0.76;0.76;;;;
20100428;mswin;m1.small;0.12;;0.13;0.12;0.12;;;;
20100428;mswin;m1.large;0.48;;0.52;0.48;0.48;;;;
20100428;mswin;m1.xlarge;0.96;;1.04;0.96;0.96;;;;
20100428;mswin;m2.xlarge;0.62;;0.69;0.62;0.62;;;;
20100428;mswin;m2.2xlarge;1.44;;1.58;1.44;1.44;;;;
20100428;mswin;m2.4xlarge;2.88;;3.16;2.88;2.88;;;;
20100428;mswin;c1.medium;0.29;;0.31;0.29;0.29;;;;
20100428;mswin;c1.xlarge;1.16;;1.24;1.16;1.16;;;;
;;;;;;;;;;;
20100222;linux;m1.small;0.085;;0.095;0.095;;;;;
20100222;linux;m1.large;0.34;;0.38;0.38;;;;;
20100222;linux;m1.xlarge;0.68;;0.76;0.76;;;;;
20100222;linux;m2.xlarge;0.50;;0.57;0.57;;;;;
20100222;linux;m2.2xlarge;1.20;;1.34;1.34;;;;;
20100222;linux;m2.4xlarge;2.40;;2.68;2.68;;;;;
20100222;linux;c1.medium;0.17;;0.19;0.19;;;;;
20100222;linux;c1.xlarge;0.68;;0.76;0.76;;;;;
20100222;mswin;m1.small;0.12;;0.13;0.12;;;;;
20100222;mswin;m1.large;0.48;;0.52;0.48;;;;;
20100222;mswin;m1.xlarge;0.96;;1.04;0.96;;;;;
20100222;mswin;m2.xlarge;0.62;;0.69;0.62;;;;;
20100222;mswin;m2.2xlarge;1.44;;1.58;1.44;;;;;
20100222;mswin;m2.4xlarge;2.88;;3.16;2.88;;;;;
20100222;mswin;c1.medium;0.29;;0.31;0.29;;;;;
20100222;mswin;c1.xlarge;1.16;;1.24;1.16;;;;;
;;;;;;;;;;;
20091203;linux;m1.small;0.085;;0.095;0.095;;;;;
20091203;linux;m1.large;0.34;;0.38;0.38;;;;;
20091203;linux;m1.xlarge;0.68;;0.76;0.76;;;;;
20091203;linux;m2.2xlarge;1.20;;1.34;1.34;;;;;
20091203;linux;m2.4xlarge;2.40;;2.68;2.68;;;;;
20091203;linux;c1.medium;0.17;;0.19;0.19;;;;;
20091203;linux;c1.xlarge;0.68;;0.76;0.76;;;;;
20091203;mswin;m1.small;0.12;;0.13;0.12;;;;;
20091203;mswin;m1.large;0.48;;0.52;0.48;;;;;
20091203;mswin;m1.xlarge;0.96;;1.04;0.96;;;;;
20091203;mswin;m2.2xlarge;1.44;;1.58;1.44;;;;;
20091203;mswin;m2.4xlarge;2.88;;3.16;2.88;;;;;
20091203;mswin;c1.medium;0.29;;0.31;0.29;;;;;
20091203;mswin;c1.xlarge;1.16;;1.24;1.16;;;;;
;;;;;;;;;;;
20091101;linux;m1.small;0.085;;;0.095;;;;;
20091101;linux;m1.large;0.34;;;0.38;;;;;
20091101;linux;m1.xlarge;0.68;;;0.76;;;;;
20091101;linux;m2.2xlarge;1.20;;;1.34;;;;;
20091101;linux;m2.4xlarge;2.40;;;2.68;;;;;
20091101;linux;c1.medium;0.17;;;0.19;;;;;
20091101;linux;c1.xlarge;0.68;;;0.76;;;;;
20091101;mswin;m1.small;0.12;;;0.13;;;;;
20091101;mswin;m1.large;0.48;;;0.52;;;;;
20091101;mswin;m1.xlarge;0.96;;;1.04;;;;;
20091101;mswin;m2.2xlarge;1.44;;;1.58;;;;;
20091101;mswin;m2.4xlarge;2.88;;;3.16;;;;;
20091101;mswin;c1.medium;0.29;;;0.31;;;;;
20091101;mswin;c1.xlarge;1.16;;;1.24;;;;;
;;;;;;;;;;;
20091026;linux;m1.small;0.085;;;0.095;;;;;
20091026;linux;m1.large;0.34;;;0.38;;;;;
20091026;linux;m1.xlarge;0.68;;;0.76;;;;;
20091026;linux;m2.2xlarge;1.20;;;1.34;;;;;
20091026;linux;m2.4xlarge;2.40;;;2.68;;;;;
20091026;linux;c1.medium;0.17;;;0.19;;;;;
20091026;linux;c1.xlarge;0.68;;;0.76;;;;;
20091026;mswin;m1.small;0.12;;;0.13;;;;;
20091026;mswin;m1.large;0.48;;;0.52;;;;;
20091026;mswin;m1.xlarge;0.96;;;1.04;;;;;
20091026;mswin;m2.2xlarge;1.44;;;1.58;;;;;
20091026;mswin;m2.4xlarge;2.88;;;3.16;;;;;
20091026;mswin;c1.medium;0.29;;;0.31;;;;;
20091026;mswin;c1.xlarge;1.16;;;1.24;;;;;
;;;;;;;;;;;
20090303;linux;m1.small;0.10;;;0.11;;;;;
20090303;linux;m1.large;0.40;;;0.44;;;;;
20090303;linux;m1.xlarge;0.80;;;0.88;;;;;
20090303;linux;c1.medium;0.20;;;0.22;;;;;
20090303;linux;c1.xlarge;0.80;;;0.88;;;;;
20090303;mswin;m1.small;0.125;;;0.135;;;;;
20090303;mswin;m1.large;0.50;;;0.54;;;;;
20090303;mswin;m1.xlarge;1.00;;;1.08;;;;;
20090303;mswin;c1.medium;0.30;;;0.32;;;;;
20090303;mswin;c1.xlarge;1.20;;;1.28;;;;;
;;;;;;;;;;;
20081210;linux;m1.small;0.10;;;0.11;;;;;
20081210;linux;m1.large;0.40;;;0.44;;;;;
20081210;linux;m1.xlarge;0.80;;;0.88;;;;;
20081210;linux;c1.medium;0.20;;;0.22;;;;;
20081210;linux;c1.xlarge;0.80;;;0.88;;;;;
20081210;mswin;m1.small;0.125;;;;;;;;
20081210;mswin;m1.large;0.50;;;;;;;;
20081210;mswin;m1.xlarge;1.00;;;;;;;;
20081210;mswin;c1.medium;0.30;;;;;;;;
20081210;mswin;c1.xlarge;1.20;;;;;;;;
;;;;;;;;;;;
20080808;linux;m1.small;0.10;;;;;;;;
20080808;linux;m1.large;0.40;;;;;;;;
20080808;linux;m1.xlarge;0.80;;;;;;;;
20080808;linux;c1.medium;0.20;;;;;;;;
20080808;linux;c1.xlarge;0.80;;;;;;;;
20080808;mswin;m1.small;0.125;;;;;;;;
20080808;mswin;m1.large;0.50;;;;;;;;
20080808;mswin;m1.xlarge;1.00;;;;;;;;
20080808;mswin;c1.medium;0.30;;;;;;;;
20080808;mswin;c1.xlarge;1.20;;;;;;;;
;;;;;;;;;;;
20080529;linux;m1.small;0.10;;;;;;;;
20080529;linux;m1.large;0.40;;;;;;;;
20080529;linux;m1.xlarge;0.80;;;;;;;;
20080529;linux;c1.medium;0.20;;;;;;;;
20080529;linux;c1.xlarge;0.80;;;;;;;;
;;;;;;;;;;;
20071016;linux;m1.small;0.10;;;;;;;;
20071016;linux;m1.large;0.40;;;;;;;;
20071016;linux;m1.xlarge;0.80;;;;;;;;
;;;;;;;;;;;
20060823;linux;m1.small;0.10;;;;;;;;
